DATE,7am,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,12am,1am,2am,3am,4am,5am,6am
2020-01-03,0,0,0,1,1,2,6,5,5,3,2,x,x,x,x,x,x,x,x,x,x,x,x,x
2020-01-04,x,x,x,0,0,3,3,2,1,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x
2020-01-05,x,x,x,1,1,4,4,4,3,2,1,x,x,x,x,x,x,x,x,x,x,x,x,x
2020-01-06,2,23,29,69,53,61,57,30,27,22,15,N/A,19,17,15,15,17,0,0,0,0,0,0,0
2020-01-07,5,8,40,66,52,73,54,56,58,59,45,10,N/A,N/A,22,25,15,2,1,0,0,1,0,0
2020-01-08,3,25,29,37,55,53,89,62,55,39,26,11,7,15,19,21,19,6,0,0,0,0,0,0
2020-01-09,2,26,73,65,52,95,70,68,57,66,49,23,27,29,31,27,19,8,1,1,0,0,0,0
2020-01-10,2,15,32,91,57,52,57,45,39,26,19,5,2,2,x,x,x,x,x,x,x,x,x,x
2020-01-11,x,x,x,5,9,14,14,14,13,11,10,13,9,7,x,x,x,x,x,x,x,x,x,x
2020-01-12,x,x,x,7,32,35,45,56,56,48,49,38,32,31,34,26,13,9,9,5,4,1,0,0
2020-01-13,1,24,48,52,67,71,64,47,76,74,37,42,48,54,49,61,64,51,6,4,1,1,1,0
2020-01-14,5,19,48,35,45,97,76,67,80,101,54,46,46,52,55,34,28,18,16,6,3,2,1,1
2020-01-15,1,20,39,102,91,106,98,73,76,70,64,53,51,57,59,28,25,8,5,1,1,0,0,0
2020-01-16,4,13,31,36,52,96,74,85,67,70,43,21,35,47,51,46,42,31,6,2,3,2,2,2
2020-01-17,0,2,29,78,66,71,56,52,61,N/A,N/A,18,15,12,x,x,x,x,x,x,x,x,x,x
2020-01-18,x,x,x,3,5,6,14,20,17,23,19,N/A,N/A,N/A,x,x,x,x,x,x,x,x,x,x
2020-01-19,x,x,x,4,12,22,29,32,31,36,33,28,22,20,20,16,10,6,8,6,2,1,1,0
2020-01-20,1,2,4,19,42,56,70,82,78,64,55,48,52,59,61,43,44,14,11,6,3,1,1,2
2020-01-21,8,17,42,45,57,121,85,63,86,102,81,80,51,62,68,65,64,40,17,4,3,2,2,2
2020-01-22,3,21,41,87,63,101,87,71,77,83,N/A,N/A,N/A,65,69,54,56,25,25,11,6,0,0,0
2020-01-23,2,19,30,46,98,85,72,66,62,65,57,40,46,51,57,36,34,26,21,9,3,2,1,0
2020-01-24,2,9,24,98,68,64,42,50,48,41,49,23,15,9,x,x,x,x,x,x,x,x,x,x
2020-01-25,x,x,x,5,19,35,34,38,42,41,39,37,28,16,x,x,x,x,x,x,x,x,x,x
2020-01-26,x,x,x,18,39,50,51,61,62,68,71,55,67,67,50,43,35,29,28,20,10,5,1,1
2020-01-27,3,20,37,48,78,91,86,87,93,88,81,56,68,61,79,59,54,N/A,40,16,7,3,4,8
2020-01-28,13,27,47,66,67,97,97,101,125,136,94,110,61,80,100,79,54,32,32,21,9,6,5,5
2020-01-29,10,28,37,80,72,91,101,86,101,105,87,81,74,71,89,86,81,38,37,29,7,5,3,2
2020-01-30,3,15,40,51,84,95,77,78,81,86,92,80,79,75,73,69,67,61,46,21,12,2,0,1
2020-01-31,6,25,44,85,86,66,56,50,56,37,29,18,7,3,x,x,x,x,x,x,x,x,x,x
2020-02-01,x,x,x,3,7,12,27,28,32,38,33,29,25,26,x,x,x,x,x,x,x,x,x,x
2020-02-02,x,x,x,20,37,33,51,60,63,54,44,38,33,37,48,43,37,24,19,9,9,6,2,3
2020-02-03,4,23,37,99,65,89,81,68,87,99,79,76,79,81,74,68,71,67,35,20,15,10,9,6
2020-02-04,7,16,64,56,53,64,72,91,89,82,76,76,71,79,81,75,65,45,38,26,17,10,6,4
2020-02-05,8,12,26,91,90,106,101,85,90,93,81,68,56,66,68,50,N/A,N/A,36,21,10,4,1,1
2020-02-06,4,16,51,62,85,128,82,59,58,68,63,58,59,55,59,49,45,33,22,12,8,4,2,1
2020-02-07,6,34,34,80,85,92,54,50,41,25,14,9,7,6,x,x,x,x,x,x,x,x,x,x
2020-02-08,x,x,x,10,23,31,34,43,49,33,21,23,17,19,x,x,x,x,x,x,x,x,x,x
2020-02-09,x,x,x,9,25,30,41,54,60,64,69,55,51,57,54,47,40,36,17,10,4,3,1,1
2020-02-10,2,18,36,81,83,97,98,85,94,68,44,55,69,72,76,63,61,N/A,40,20,8,5,5,3
2020-02-11,5,18,42,54,60,84,90,96,100,94,79,64,61,67,64,62,54,40,20,8,4,3,1,2
2020-02-12,2,15,28,118,90,89,89,63,126,130,121,71,69,61,68,71,60,38,35,19,15,10,5,4
2020-02-13,4,15,46,45,77,101,65,67,70,65,68,43,35,49,51,54,38,31,22,16,11,8,6,5
2020-02-14,5,28,32,83,92,86,67,65,58,45,29,21,13,10,x,x,x,x,x,x,x,x,x,x
2020-02-15,x,x,x,4,6,18,34,50,43,42,39,N/A,N/A,N/A,x,x,x,x,x,x,x,x,x,x
2020-02-16,x,x,x,10,24,42,51,56,80,79,82,81,77,62,59,51,49,32,22,8,5,2,1,2
2020-02-17,3,19,37,85,81,96,70,68,65,61,69,73,81,101,84,80,72,56,50,30,10,3,1,2
2020-02-18,5,16,45,48,71,78,92,96,104,135,100,73,76,89,87,83,62,40,35,27,22,7,3,3
2020-02-19,6,26,51,74,92,82,87,89,122,130,84,78,72,70,69,62,52,48,50,30,20,13,9,11
2020-02-20,14,27,62,75,63,113,108,95,91,89,91,94,85,53,64,51,47,31,28,25,15,8,9,8
2020-02-21,8,25,36,92,82,90,56,51,48,31,37,29,23,19,12,x,x,x,x,x,x,x,x,x
2020-02-22,x,x,x,13,32,47,65,62,58,55,48,32,31,29,15,x,x,x,x,x,x,x,x,x
2020-02-23,x,x,x,25,47,61,62,78,83,88,84,77,72,69,70,63,57,49,37,19,8,6,3,5
2020-02-24,17,32,55,109,95,87,83,103,86,79,100,87,85,77,72,94,91,69,47,29,17,10,9,10
2020-02-25,12,20,55,60,62,73,70,84,99,127,89,105,79,98,99,102,89,52,37,29,15,10,10,7
2020-02-26,21,34,41,122,90,91,96,100,112,124,97,76,71,68,62,63,58,46,35,19,10,5,4,4
2020-02-27,24,48,48,67,84,92,111,105,115,103,88,56,52,56,52,48,42,20,10,10,12,11,5,5
2020-02-28,6,19,20,68,59,55,61,43,30,27,21,x,x,x,x,x,x,x,x,x,x,x,x,x
2020-02-29,x,x,x,3,2,2,3,7,10,N/A,N/A,x,x,x,x,x,x,x,x,x,x,x,x,x
2020-03-01,x,x,x,2,3,1,1,1,1,2,2,x,x,x,x,x,x,x,x,x,x,x,x,x
2020-03-02,0,2,2,6,5,2,7,9,7,5,5,x,x,x,x,x,x,x,x,x,x,x,x,x
2020-03-03,0,0,2,2,3,5,3,4,4,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x
2020-03-04,0,1,3,3,15,28,7,9,10,5,4,x,x,x,x,x,x,x,x,x,x,x,x,x
2020-03-05,0,2,3,4,6,N/A,3,5,4,4,4,x,x,x,x,x,x,x,x,x,x,x,x,x
2020-03-06,0,1,3,4,3,4,7,N/A,7,7,2,x,x,x,x,x,x,x,x,x,x,x,x,x
2020-03-07,x,x,x,0,3,5,8,13,16,14,11,x,x,x,x,x,x,x,x,x,x,x,x,x
2020-03-08,x,x,x,4,11,10,8,7,9,6,8,30,26,23,27,19,17,9,5,0,1,1,1,1
2020-03-09,3,26,30,95,76,82,63,86,71,61,48,32,31,26,25,12,6,6,1,0,0,0,1,1
2020-03-10,2,3,8,9,10,9,9,7,7,12,9,6,9,7,7,9,10,9,7,4,3,2,1,1
2020-03-11,1,2,1,6,9,14,10,6,8,24,27,20,14,4,3,3,2,2,3,1,1,1,1,1
2020-03-12,1,0,5,8,8,4,9,12,8,7,5,3,3,3,3,2,2,1,0,0,0,0,0,0
